,title,price,num_sold,shipping_type,condition,condition_description,num_reviews,pos_feedback_pct,return_days
66,apple iphone 11 pro max a2161 att t-mobile verizon factory unlocked - very good,619.0,,,very good - refurbished,"“we're a certified usa seller. apple iphone 11 pro max - factory unlocked model a2161 - very good condition - see the below description for more details. backed by a free one year warranty. comes in a new box with a brand new 2-piece charger (lightning cable and wall plug) and a sim tray removal tool. clean esn verified. we're a trusted and certified usa seller. all of these devices have been fully tested by our team of professionally certified mobile phone technicians to guarantee they work just like new or your money back. please, check our store ratings to see what our customers have to say about us and our products! feel free to message with any questions you may have. have a nice day!”",30062.0,100.0,30 days returns
67,apple iphone 11 128gb factory unlocked 4g lte smartphone - very good,379.99,"1,390 sold",,very good - refurbished,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,60 days returns
68,apple iphone 8 - 64gb 256gb gsm factory unlocked  at&t t-mobile good,139.95,"5,873 sold",free 3 day shipping,good - refurbished,“this item is in 7+/10 condition.”,266878.0,99.9,30 days returns
69,apple iphone 11 pro 256gb unlocked at&t t-mobile verizon very good condition,489.95,594 sold,,very good - refurbished,"“100% fully functional - very good cosmetic condition. very minimal signs of wear. see below for full description of cosmetic condition. the devices in this listing are apple iphone 11 pro smartphones with a storage capacity of 256gb and your choice of color from gold, midnight green, silver, space gray. they are also factory unlocked and can be used on verizon and other gsm networks such as att and t-mobile. every smartphone will arrive with a clear imei, factory data reset, clean, and ready to activate and use. generic accessories - a wall block and cable - are included with every purchase. visit our store to see more devices in more conditions. if your ideal device isn’t available, check back soon. we get new devices daily!”",82278.0,98.4,60 days returns
70,apple iphone xr - 64gb -black (unlocked) a1984 (cdma + gsm)~srf~ -very good,224.99,"1,687 sold",free 3 day shipping,very good - refurbished,"“this apple iphone xr - 64gb -black (unlocked) a1984 (cdma + gsm)~srf~ very good! has been determined fully functional by our industry leading functionality inspection. mfi certified lightning cable and ul approved power adapter are included. this product will not come in its original packaging; headsets, sim card and manual will not be included.""the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished,inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging”",10672.0,98.8,30 days returns
71,"apple iphone 11 gsm+cdma factory unlocked verizon t-mobile at&t -""very good""",314.88,,free 3 day shipping,very good - refurbished,"“""very good"" detailed grade info is below. we offer a no-risk 30-day free return! , fully tested by our team of on-site technicians using industry-leading testing software and procedures. then meticulously and carefully cosmetically graded to be sure they fit the conditions in this listing.”",17600.0,98.7,30 days returns
72,apple iphone 11 64gb 128gb 256gb at&t t-mobile verizon sprint unlocked excellent,359.0,399 sold,,excellent - refurbished,"“excellent condition - fully tested and reverted to factory settings by our on-site technicians. ul certified accessories (non oem) and not in original box, in a loop box.”",2394.0,99.2,30 days returns
73,apple iphone 11 pro max 256gb unlocked smartphone - very good,584.95,561 sold,free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
74,apple iphone 12 128gb factory unlocked at&t t-mobile verizon very good condition,549.95,265 sold,,very good - refurbished,"“100% fully functional - very good cosmetic condition. very minimal signs of wear. see below for full description of cosmetic condition. the devices in this listing are apple iphone 12 smartphones with a storage capacity of 128gb and your choice of color from (product)red, black, blue, green, white. they are also factory unlocked and can be used on verizon and other gsm networks such as att and t-mobile. every smartphone will arrive with a clear imei, factory data reset, clean, and ready to activate and use. generic accessories - a wall block and cable - are included with every purchase. visit our store to see more devices in more conditions. if your ideal device isn’t available, check back soon. we get new devices daily!”",82278.0,98.4,60 days returns
75,apple iphone x 64gb factory unlocked at&t t-mobile smartphone - very good,228.0,470 sold,free 3 day shipping,very good - refurbished,"“factory unlocked fully functional. it will show moderate signs of scratches, scuffs, on the screen or body. comes in a white generic box with generic charger.”",69144.0,95.8,30 days returns
76,apple iphone x 64gb unlocked 4g lte ios wifi 12mp camera smartphone - good,209.95,"5,955 sold",free 3 day shipping,good - refurbished,"“this is a b stock item, meaning unit is in good cosmetic condition and will show signs of use in the form of scrapes or scratches.”",332402.0,98.4,60 days returns
77,apple iphone se 1st gen fully unlocked (32&64 gb) (very good),82.99,191 sold,free 3 day shipping,very good - refurbished,“phone is in very good condition. may have some minor scratches. charger and cable included.”,2723.0,97.2,30 days returns
78,apple iphone xr 128gb unlocked smartphone - very good,244.95,10 sold,free 3 day shipping,very good - refurbished,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,60 days returns
79,apple iphone x 256gb unlocked straight talk tmobile at&t verizon metro excellent,249.0,596 sold,,excellent - refurbished,““choose your color and network from the dropdown boxes. detailed grade information is below. we offer a no-risk 30-day warranty! trusted seller. see our ratings. fully tested by our team of on-site technicians using industry-leading testing software and procedures. then meticulously and carefully cosmetically graded to be sure they fit the conditions in this listing. please message us with any questions you may have.”””,61033.0,100.0,30 days returns
