,title,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
894,apple iphone 12 pro max 128/256/512 at&t sprint t-mobile unlocked vzw excellent,751.99,1.0,54735.0,99.4,3.0,16,138.7663551401869,2020
895,apple iphone 7 plus 128gb gsm unlocked at&t t-mobile very good condition,189.95,3.0,82193.0,98.4,3.0,10,128.0,2016
896,apple iphone 11 64gb black unlocked very good condition,386.99,3.0,54735.0,99.4,3.0,15,64.0,2019
897,iphone x 256gb (at&t) ***read*5,140.99,0.0,55218.0,99.4,2.0,12,256.0,2017
898,apple iphone 8 64gb / 256gb factory unlocked smartphone - very good,144.99,2.0,122213.0,100.0,2.0,11,64.0,2017
899,apple iphone x - 64gb - space gray (unlocked) a1865 (cdma + gsm) no face id,184.99,1.0,6905.0,98.8,2.0,12,64.0,2017
901,apple iphone x 64gb verizon 4g lte ios wifi 12mp camera smartphone - good,209.95,2.0,332288.0,98.4,3.0,12,64.0,2017
902,apple iphone xr fully unlocked (any carrier) smartphone 64gb 128gb very good,223.99,3.0,249010.0,96.5,2.0,13,64.0,2018
903,apple iphone xr fully unlocked (any carrier) smartphone 64gb 128gb,198.99,1.0,127726.0,95.6,2.0,13,64.0,2018
904,apple iphone 11 64gb black lte cellular straight talk/tracfone mwl72ll/a - tf,314.0,6.0,356221.0,97.1,2.0,15,64.0,2019
905,new*  apple iphone 13 pro max | 128gb gold | unlocked verizon at&t t-mobile,1.0,5.0,11250.0,100.0,2.0,17,128.0,2021
906,apple iphone xs max - 512gb - all colors - fully unlocked - excellent condition,475.99,4.0,3099279.0,98.8,2.0,14,512.0,2018
907,apple iphone xs 256gb gsm unlocked at&t t-mobile excellent condition,319.95,4.0,82193.0,98.4,3.0,14,256.0,2018
908,new apple iphone 8 plus / 6s /6s plus 16/64/128gb unlocked t-mobile at&t verizon,199.59,6.0,190.0,98.6,2.0,11,92.72343149807938,2017
909,apple iphone 6s 128gb - rose gold - good condition - locked at&t - free shipping,80.99,1.0,11.0,100.0,2.0,8,128.0,2015
910,apple iphone x 64gb | 256gb factory unlocked at&t t-mobile verizon gsm+cdma,324.99,6.0,306.0,99.2,2.0,12,64.0,2017
911,apple iphone 12 mini 64gb │ 128gb (unlocked)  ✅ 1 year warranty ✅ ⚫⚪🔴🔵 ❖o/b❖,436.95,5.0,25277.0,100.0,2.0,16,64.0,2020
912,apple iphone xr - 64gb -black (unlocked) a1984 (cdma + gsm)~ob~excellent!,259.99,5.0,10647.0,98.9,2.0,13,64.0,2018
913,apple iphone 8 plus 64gb silver unlocked -mint ,193.0,1.0,5146.0,99.3,2.0,11,64.0,2017
914,apple iphone 7/7 plus 32gb 128gb unlocked verizon at&t t-mobile gsm+ cdma 4g,81.0,1.0,5146.0,99.3,2.0,10,32.0,2016
915,apple iphone 11 (a2111) 64gb black locked gsm t-mobile excellent condition,290.0,1.0,29444.0,98.8,2.0,15,64.0,2019
916,apple iphone xs 64 gb silver unlocked lte ios smartphone mt8k2ll/a,266.95,1.0,149953.0,99.7,2.0,14,64.0,2018
917,"iphone 8 plus crystal clear slim fit case soft tpu bumper heavy duty cover 5.5""",32.54,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
918, apple iphone 12 | 64gb blue | unlocked verizon at&t t-mobile cricket,469.99,1.0,11250.0,100.0,2.0,16,64.0,2020
919,apple iphone 8 64gb - all colors - fully unlocked - excellent,175.0,4.0,157792.0,98.9,2.0,11,64.0,2017
920,apple iphone x 64gb 256gb factory unlocked gsm smartphone,194.99,1.0,127726.0,95.6,2.0,12,64.0,2017
921,apple iphone x (unlocked) 64gb 256gb verizon t-mobile at&t metro straight talk,259.88,5.0,11023.0,98.2,2.0,12,64.0,2017
922,apple iphone 7 plus - 32gb rose gold cracked screen,75.5,0.0,683.0,100.0,0.0,10,32.0,2016
923,"apple iphone x 256gb| 64gb gsm/ cdma factory unlocked- ""very good""",239.88,3.0,17579.0,98.7,2.0,12,256.0,2017
924,factory unlocked 🔥 apple 🔥 iphone se 2020 128gb 🔥 excellent condition,320.0,1.0,553.0,100.0,0.0,9,128.0,2016
925,apple iphone se 2020 2nd gen. 64gb factory unlocked smartphone - good,199.99,2.0,67602.0,98.9,2.0,9,64.0,2016
926,apple iphone xs max 256gb unlocked smartphone - excellent,444.95,4.0,332288.0,98.4,3.0,14,256.0,2018
927,apple iphone 11 pro max 64gb a2161 factory unlocked cdma / gsm,634.99,5.0,8448.0,99.2,2.0,15,64.0,2019
928,apple iphone 12 pro a2341 - 512gb - all colors (unlocked) - very good condition ,739.49,3.0,3099279.0,98.8,2.0,16,512.0,2020
929,"new apple iphone 7 32gb (cdma + gsm unlocked) black, rose gold, silver, gold",139.95,5.0,8258.0,100.0,2.0,10,32.0,2016
930,apple iphone xr - 64gb - black - carrier unlocked - config locked,175.0,0.0,889.0,94.8,2.0,13,64.0,2018
931,"apple iphone 12 mini -128gb -black, white, red, etc(unlocked) a2176 (cdma + gsm)",474.99,5.0,61.0,100.0,2.0,16,138.7663551401869,2020
932,apple iphone 5c 8gb/ 16gb /32gb smartphone unlocked 4g lte,69.0,5.0,3741.0,100.0,2.0,5,8.0,2013
933,apple iphone xr fully unlocked (any carrier) smartphone 64gb 128gb very good,223.99,3.0,249010.0,96.5,2.0,13,64.0,2018
934,apple iphone xr - 128gb - (product)red - gsm unlocked - smartphone,233.99,1.0,7053.0,99.9,2.0,13,128.0,2018
935,apple iphone xs max 64gb unlocked smartphone - excellent,374.95,4.0,332288.0,98.4,3.0,14,64.0,2018
937,iphone 7 32gb 128gb 256gb unlocked t-mobile at&t verizon | very good,107.0,3.0,21988.0,99.8,3.0,10,32.0,2016
939,factory unlocked 🔥 apple 🔥 iphone 12 pro max 256gb 5g 🔥 excellent condition,929.0,5.0,26968.0,99.2,2.0,16,256.0,2020
940,apple iphone se 2nd gen 64gb 128gb 256gb (factory unlocked) ✅1 yr warnty✅❖sealed,308.95,6.0,25277.0,100.0,2.0,9,64.0,2016
941,cracked apple iphone 12 pro max - pacific blue *for parts only* ic,199.0,0.0,259.0,100.0,2.0,16,138.7663551401869,2020
942,apple iphone 11 - 64gb - product red - factory unlocked - no face id,260.0,0.0,889.0,94.8,2.0,15,64.0,2019
943,apple iphone 11 pro - 512gb - all colors (unlocked) a2160 - excellent condition ,586.49,4.0,3099279.0,98.8,2.0,15,512.0,2019
944,iphone 6 16gb 64gb 128gb unlocked t-mobile at&t verizon | excellent,66.0,4.0,21988.0,99.8,3.0,7,16.0,2014
945,apple iphone 11 128gb fully unlocked verizon at&t t-mobile smartphone - a2111,389.99,3.0,20932.0,97.8,2.0,15,128.0,2019
946,new* apple iphone 11 pro max 64/256/512gb unlocked at&t vzn tmo spt - all colors,629.99,5.0,43976.0,99.0,2.0,15,124.43806104129264,2019
947,apple iphone 11 pro - 64gb 256gb 512gb - unlocked verizon - excellent condition ,462.99,4.0,54735.0,99.4,3.0,15,64.0,2019
948,apple iphone xs max - 256gb - gold (unlocked) a1921 (cdma + gsm),398.99,5.0,7165.0,100.0,2.0,14,256.0,2018
949,new apple iphone 4s - 32gb - black (unlocked) a1387 (cdma   gsm),89.95,5.0,11163.0,100.0,2.0,3,32.0,2011
950,apple iphone 11 - 128gb - black - fully unlocked verizon at&t t-mobile - a2111,349.99,1.0,20932.0,97.8,2.0,15,128.0,2019
951,apple iphone 11 pro max - 256gb - green - at&t ,499.99,1.0,118.0,100.0,2.0,15,256.0,2019
952,apple iphone 7 32gb/128gb - gold/silver verizon unlocked tmobile smartphone,79.0,1.0,5146.0,99.3,2.0,10,32.0,2016
953,for apple iphone 12 13 pro max shockproof rugged protective hybrid case cover,6.99,6.0,5105.0,94.7,2.0,16,138.7663551401869,2020
954,apple iphone 6 plus 64gb factory unlocked at&t t-mobile verizon good condition,107.95,2.0,82193.0,98.4,3.0,7,64.0,2014
955,apple iphone 12 - 128gb - black (unlocked)- 100% battery,525.0,1.0,60.0,100.0,3.0,16,128.0,2020
956,apple iphone 7 256gb factory unlocked at&t t-mobile verizon good condition,124.95,2.0,82193.0,98.4,3.0,10,256.0,2016
957,apple iphone xs 64gb 256gb 512gb factory unlocked excellent condition,299.99,1.0,32842.0,97.7,2.0,14,64.0,2018
958,apple iphone 13 pro max all capacities att sprint tmobile unlocked vzw excellent,1.0,1.0,54735.0,99.4,3.0,17,177.7258064516129,2021
959,apple iphone 7 plus 32gb gsm unlocked at&t t-mobile excellent condition,174.95,4.0,82193.0,98.4,3.0,10,32.0,2016
960,apple iphone xs max fully unlocked (any carrier) 64gb 256gb good,294.99,2.0,249010.0,96.5,2.0,14,64.0,2018
961,apple iphone 8 plus - 128gb- space gray (unlocked) (cdma + gsm) -very good,240.0,3.0,121483.0,99.9,3.0,11,128.0,2017
962,apple iphone 11 pro max 64gb 256gb 512gb a2161 gray silver gold green excellent,499.95,1.0,103304.0,99.3,2.0,15,64.0,2019
963,fair condition apple iphone 5 16gb /32gb /64gb unlocked at&t tmobile ,36.0,1.0,18735.0,95.2,2.0,4,16.0,2012
964,apple iphone 11 pro unlocked gsm + cdma 64gb 256gb green gold - excellent,449.99,1.0,47359.0,98.9,2.0,15,64.0,2019
